Query sequence,Sample name,Otu.95,Most common phylum-level assignment,Phylum-level assignment,Most common class-level assignment,Class-level assignment,Most common order-level assignment,Order-level assignment,Most common family-level assignment,Family-level assignment,Most common Genus-level assignment,Genus-level assignment,Taxon assignment,Likelihood weight,otu,otu_references
B11_Otu1067,B11,Otu1067,Ascomycota,Ascomycota,Lichinomycetes,Lichinomycetes,Lichinales,Lichinales,Peltulaceae,Peltulaceae,Peltula,Peltula,Peltula_umbilicata,"0.053013, 0.046364, 0.046145, 0.040028, 0.037026, 0.031708, 0.031071, 0.030565, 0.030441, 0.024129, 0.023954",OTU1067,
B11_Otu1073,B11,Otu1073,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,unclassified,unclassified,unclassified,unclassified,Cryomyces,Cryomyces,"Cryomyces_sp_montanus,Cryomyces_antarcticus","0.050946, 0.049117, 0.041553, 0.037431, 0.037403, 0.028996, 0.028985, 0.028901, 0.028530, 0.023271, 0.022622",OTU702,
B11_Otu1083,B11,Otu1083,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Capnodiales,"Capnodiales,unclassified",Cladosporiaceae,"Cladosporiaceae,unclassified,Davidiellaceae",Cladosporium,"Cladosporium,unclassified,Rachicladosporium","Cladosporium_fusiforme,Cladosporium_sphaerospermum,Dothideomycetes_sp_TRN43,Cladosporium_cladosporioides,Rachicladosporium_inconspicuum_1,Rachicladosporium_mcmurdoi,Rachicladosporium_inconspicuum,Davidiellaceae_sp_AN1,Dothideomycetes_sp_TRN44,Dothideomycetes_sp_TRN42,Cladosporium_allicinum","0.708654, 0.095573, 0.035488, 0.018428, 0.011439, 0.010866, 0.009718, 0.009693, 0.008507, 0.007805, 0.007078",OTU426,
B11_Otu1097,B11,Otu1097,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Dothideales,"Dothideales,unclassified",Dothideaceae,"Dothideaceae,Dothioraceae,unclassified",Dothidea,"Dothidea,Dothiora,unclassified,Delphinella,Sydowia,Neocylindroseptoria,Stylodothis","Dothideomycetes_sp_TRN11,Delphinella_strobiligena,Sydowia_polyspora,Dothiora_ceratoniae,Neocylindroseptoria_pistaciae,Stylodothis_puccinioides,Dothidea_ribesia,Dothidea_sambuci,Dothidea_hippophaeos,Dothidea_insculpta,Dothiora_cannabinae","0.032104, 0.031584, 0.023753, 0.022928, 0.022921, 0.022921, 0.022921, 0.022921, 0.022921, 0.022916, 0.022916",OTU1041,
B11_Otu115,B11,Otu115,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Xylariales,"Xylariales,Lulworthiales",Lulworthiaceae,"Lulworthiaceae,Diatrypaceae,Xylariaceae,-",Lindra,"Lindra,Cryptosphaeria,Lulwoana,Lulwoidea,Eutypa,Diatrype,Lulworthia,Anthostomella,Diatrypasimilis","Lindra_obtusa,Lulwoana_uniseptata,Lindra_thalassiae,Lulwoidea_lignoarenaria,Eutypa_lata,Diatrype_disciformis,Lulworthia_grandispora,Cryptosphaeria_ligniota,Anthostomella_torosa,Cryptosphaeria_subcutanea,Diatrypasimilis_australiensis","0.071904, 0.070316, 0.070109, 0.054293, 0.053664, 0.053650, 0.049198, 0.049198, 0.044031, 0.044031, 0.039317",OTU162,
B11_Otu1157,B11,Otu1157,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,unclassified,unclassified,unclassified,unclassified,Cryomyces,Cryomyces,"Cryomyces_sp_montanus,Cryomyces_antarcticus","0.077307, 0.071930, 0.049864, 0.049734, 0.049144, 0.041383, 0.035042, 0.034028, 0.030818, 0.023508, 0.023490",OTU319,
B11_Otu1200,B11,Otu1200,Ascomycota,Ascomycota,Eurotiomycetes,Eurotiomycetes,Phaeomoniellales,Phaeomoniellales,unclassified,unclassified,Celerioriella,"Celerioriella,Dolabra,Neophaeomoniella,Minutiella,Aequabiliella","Dolabra_nepheliae,Neophaeomoniella_zymoides,Minutiella_tardicola,Celerioriella_prunicola,Aequabiliella_effusa,Celerioriella_dura","0.809689, 0.056822, 0.026010, 0.023736, 0.022905, 0.022398",OTU136,
B11_Otu1212,B11,Otu1212,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Didymellaceae,Didymellaceae,Didymella,Didymella,Didymella_boeremae,"0.129494, 0.093688, 0.093548, 0.093276, 0.047856, 0.027888, 0.027835, 0.027814, 0.027814, 0.027814, 0.027810",OTU1049,
B11_Otu124,B11,Otu124,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Dothideales,Dothideales,Aureobasidiaceae,Aureobasidiaceae,Aureobasidium,Aureobasidium,"Aureobasidium_melanogenum,Aureobasidium_pullulans,Aureobasidium_lini,Aureobasidium_namibiae","0.540936, 0.151888, 0.149868, 0.061739, 0.055715",OTU352,
B11_Otu134,B11,Otu134,Ascomycota,Ascomycota,Eurotiomycetes,Eurotiomycetes,Chaetothyriales,Chaetothyriales,unclassified,"unclassified,Trichomeriaceae",Neophaeococcomyces,"Neophaeococcomyces,Knufia,unclassified","Neophaeococcomyces_catenatus,Knufia_petricola,Chaetothyriales_sp_TRN4","0.273286, 0.252000, 0.241430, 0.063301, 0.043106, 0.031907, 0.031328, 0.008533, 0.006744",OTU468,
