site,range,lat,dist.cont,dist.closest.sampled,dist.closest.forest,BIO1,BIO7,BIO12,BIO16,BIO17,env.pca,clim.pca,fa,log.fa,spec.richness,log.spec.richness,forest.type
A1,Flagstaff,35.29949,76.87,34.97,13.75629271,5.565355803,36.74511985,588.3400864,208.5542573,63.53825728,2.716705992,-2.383900756,1.316481187,0.119414657,7,0.84509804,pine
A2,Flagstaff,35.2943,76.48,35.25,13.90716685,5.792731957,36.98893176,578.7148608,204.5142784,63.1849216,2.661008827,-2.384407788,1.726518146,0.237171147,10,1,pine
A3,Flagstaff,35.29427,76.57,36.18,14.48761276,5.635360343,36.277913,587.5828426,207.9317475,63.64727376,2.707973568,-2.380181273,1.728171462,0.237586829,9,0.954242509,pine
B1,Bradshaw,34.41944,89.87,42.05,42.10864773,9.217311274,32.21681317,623.7916045,241.6878022,56.1672,-0.095935495,-0.235845409,3.843860802,0.584767652,19,1.278753601,pine-Doug fir
B2,Bradshaw,34.41424,90.12,42.53,42.58658841,9.21611338,31.93765876,628.5602182,242.7269091,56.7912,-0.062602382,-0.241187501,4.242270002,0.627598306,22,1.342422681,pine-Doug fir
B3,Bradshaw,34.42161,89.51,41.63,41.69292688,9.237270651,32.42859891,620.072076,240.8144152,55.9068,-0.109260227,-0.241643229,3.466412332,0.539880221,17,1.230448921,pine-Doug fir
C1,Chiricahuas,31.91445,377.56,95.07,95.29621786,9.442872175,31.26301068,644.967728,319.9647776,51.9726592,-0.452995822,1.024347606,2.466934431,0.392157606,13,1.113943352,pine
C2,Chiricahuas,31.90948,377.77,95.3,95.53016385,9.300589515,30.90384584,655.7959168,324.7645952,53.0432896,-0.375004451,1.017252226,4.140720096,0.617075874,21,1.322219295,pine
C3,Chiricahuas,31.9061,377.9,95.44,95.67591477,9.184048078,30.5838028,665.1683584,328.9918976,54.0120448,-0.9557563,1.011059816,8.053506679,0.905985023,41,1.612783857,pine-Doug fir
H1,Huachuas,31.4533,378.15,114.22,54.78664003,12.58816371,29.90639964,649.8687808,330.7955808,43.52,-2.956889952,2.694586445,2.007334061,0.302619654,8,0.903089987,pine-Doug fir
H2,Huachuas,31.453,378.24,114.05,54.97644841,12.51848908,29.78958206,654.255312,332.528472,43.981392,-2.917476757,2.684015229,3.559535735,0.551393357,19,1.278753601,pine-Doug fir
H3,Huachuas,31.45207,378.4,113.91,55.21583786,12.37364821,29.57723945,663.2688106,336.0048034,44.91240096,-2.836760329,2.662068565,4.278590961,0.631300769,21,1.322219295,pine-Doug fir
H4,Hualapai,35.0749,212.62,151.23,89.11687861,10.12626631,29.80816945,448.0310528,159.092192,46.0240384,0.393978163,-1.083716727,2.116928882,0.325706268,12,1.079181246,pine
H5,Hualapai,35.07676,213.04,151.67,89.54804584,9.85992612,29.07390176,464.0723917,163.6401152,47.73522304,-0.741846296,-1.1456423,0.877100554,-0.056950615,4,0.602059991,pine-oak
H6,Hualapai,35.07198,211.87,150.44,88.33973806,10.58832322,30.65414183,424.7353805,152.3241805,43.58621952,-1.160108518,-0.975472049,0.889293552,-0.050954857,4,0.602059991,pine-oak
M1,MogollonRim,34.51059,35.32,16.51,0,8.138696004,37.55118083,652.3248944,232.4584,61.0760944,1.319008915,-0.832335237,6.473531457,0.811141263,39,1.591064607,pine
M2,MogollonRim,34.50509,35.65,16.23,0,8.066597197,37.50015069,654.5696466,233.7784,61.00604656,1.323315266,-0.824030702,3.791500863,0.578811159,20,1.301029996,pine
M3,MogollonRim,34.50171,35.96,16.18,0,8.074092669,37.58792467,655.5913189,233.5363566,61,1.319408573,-0.81812802,6.741706411,0.828769836,33,1.51851394,pine
M4,MogollonRim,34.39839,36.52,16.51,0,11.20775658,35.78083812,654.4185082,224.1158541,59.4936,-1.102782083,0.144156455,3.312926086,0.520211747,18,1.255272505,pine-oak
