"","C1","C2","C3","P1","P2","P3","M1","M2","M3","M4","M5","M6","M7","M8","M9","B1","B2","B3","Butterfly trail","Sunset Trail","Upper Solders Camp Rd.","H1","H2","H3","N1","N2","N3","A1","A2","A3","H4","H5","H6"
"C1",0,0.695169655033903,1.18624075172732,95.0679986089386,94.2578856591596,94.731264476783,348.384661985485,347.741779532414,347.249341497653,344.753835815337,344.372718292843,344.94631617642,437.167946513766,437.609144619191,438.275086238809,405.196986402944,404.863251531254,405.099565370961,149.989086674599,150.269586023768,149.630874675146,114.215154474552,114.052211960517,113.905877575993,407.152692002233,406.501327926052,407.335300583787,438.761043696752,437.739001564069,437.268389566743,553.480583635407,553.914525356899,552.7169649766
"C2",0.695169655033903,0,0.491400997425869,95.2984750549006,94.4862064807683,94.9550353443904,348.608705459316,347.965550847409,347.473210111798,344.947055118376,344.565745327157,345.141310948356,437.375949933255,437.818115510538,438.484769551111,405.277220174919,404.942673158065,405.180507354417,149.813251614339,150.091700151619,149.453989304565,113.591450722241,113.428185476068,113.281339784048,407.30384733009,406.651762478757,407.485515142915,439.021279979707,438.00005568427,437.530556087855,553.517193410701,553.951038044727,552.753808581133
"C3",1.18624075172732,0.491400997425869,0,95.4418004310466,94.6280140068847,95.0935754908733,348.745398540925,348.102050241401,347.60978034351,345.0616844483,344.680238015927,345.257209825568,437.500993400754,437.943851243032,438.611014602444,405.311224705116,404.976101810129,405.215014776197,149.668136098114,149.94514830636,149.308144155305,113.141121708433,112.977649396609,112.830475333163,407.388309749635,406.735711947838,407.569306298241,439.183802964645,438.163168130879,437.694469137363,553.520083597128,553.953859097312,552.756865007452
"P1",95.0679986089386,95.2984750549006,95.4418004310466,0,0.868882433700524,1.02758189161956,253.320134892407,252.677662150387,252.185079856848,249.875644257303,249.49665133144,250.049786467322,342.159725689692,342.595476130661,343.257558999179,313.098558636053,312.797186530604,312.973925091481,88.7467438279399,89.2448233315282,88.6006352526904,139.456926489829,139.418193672064,139.439270910358,312.918745849057,312.283103742126,313.121217140313,343.835522168509,342.821123451984,342.361159128858,462.93583244684,463.373475493603,462.162834747609
"P2",94.2578856591596,94.4862064807683,94.6280140068847,0.868882433700524,0,0.806641381582205,254.127794210689,253.485136792623,252.992617688289,250.661117938811,250.281965849546,250.836621363838,342.957345840618,343.39374022165,344.056298247151,313.788573475862,313.486362143489,313.664627093503,88.7240566365827,89.2201732219435,88.5740118336113,138.73143218383,138.692017441777,138.712275375338,313.673269520699,313.037000265956,313.874972929939,344.66403739541,343.650071322984,343.190683415182,463.596345126175,464.033924339226,462.823520741319
"P3",94.731264476783,94.9550353443904,95.0935754908733,1.02758189161956,0.806641381582205,0,253.653960592606,253.010930655496,252.518542466984,250.146474166335,249.76705811606,250.324263962255,342.463714129686,342.901302356557,343.56474486261,313.154855614694,312.851853589209,313.031560040151,87.947635523077,88.4442551585624,87.7985931722675,138.470395513185,138.432074853585,138.453650754731,313.112091282824,312.474982460178,313.312764251205,344.237761965586,343.224933430785,342.767069827333,462.936372618149,463.373898907905,462.163691543496
"M1",348.384661985485,348.608705459316,348.745398540925,253.320134892407,254.127794210689,253.653960592606,0,0.658926256192741,1.13916191285429,16.5143311696071,16.6907491982767,15.5771500787947,89.2790219327509,89.6603828165919,90.2836233949783,97.7934177384634,97.9317143078581,97.4174907619159,238.204720206481,238.409659092753,238.605398665824,352.387279738389,352.472819398299,352.630331961312,71.627793245276,71.3062033718725,72.0815217530295,92.9648348004598,92.08382373262,91.7900993350927,237.795974443735,238.22477757089,237.021623733136
"M2",347.741779532414,347.965550847409,348.102050241401,252.677662150387,253.485136792623,253.010930655496,0.658926256192741,0,0.495061351466954,16.2290957496587,16.3927560744883,15.2928267030164,89.9007028431924,90.2836883738994,90.9081621030291,97.9832142960905,98.1178655777603,97.6085959057557,237.551747457043,237.756871808257,237.952369918846,351.732092254666,351.817595475598,351.975072244903,72.0464137923059,71.7197519703295,72.4974296595592,93.6230972806417,92.741822446389,92.4477527345377,238.203723883897,238.63274731744,237.429083107507
"M3",347.249341497653,347.473210111798,347.60978034351,252.185079856848,252.992617688289,252.518542466984,1.13916191285429,0.495061351466954,0,16.1845948012544,16.3373454375127,15.250099109185,90.3957265618011,90.7787438745094,91.403223250786,98.2715475947432,98.4038739629148,97.8977694964954,237.108020243888,237.313603668953,237.508502809949,351.28235081352,351.367746071757,351.525116376622,72.4677389324261,72.1384975947643,72.9173654990045,94.0850080660511,93.2022723595352,92.9065394843992,238.618455940054,239.047593415527,237.843665358699
"M4",344.753835815337,344.947055118376,345.0616844483,249.875644257303,250.661117938811,250.146474166335,16.5143311696071,16.2290957496587,16.1845948012544,0,0.393905135449142,0.937206360122666,92.8226582799451,93.3169244938599,94.022474208443,86.5060627828379,86.5695470380434,86.1598146990855,229.284044807473,229.459192631954,229.69299281136,343.724907735941,343.817788674751,343.982489914414,66.6196492473284,66.1449210480609,66.9756369174198,102.060036965363,101.295215325946,101.123104283895,231.261592476639,231.696079392351,230.4801936472
"M5",344.372718292843,344.565745327157,344.680238015927,249.49665133144,250.281965849546,249.76705811606,16.6907491982767,16.3927560744883,16.3373454375127,0.393905135449142,0,1.16699746750248,93.2121795796692,93.706813413191,94.4126038909679,86.6717616011995,86.732856370019,86.3265456543318,228.891628390678,229.066852855127,229.300557492001,343.332205262327,343.425070152373,343.589755917773,66.9346867115509,66.4577402212592,67.2889896062798,102.446223599214,101.680720443177,101.50789870889,231.528192093627,231.962771240017,230.746689006025
"M6",344.94631617642,345.141310948356,345.257209825568,250.049786467322,250.836621363838,250.324263962255,15.5771500787947,15.2928267030164,15.250099109185,0.937206360122666,1.16699746750248,0,92.5399564175608,93.028456293506,93.7300753685975,87.0968359836917,87.1651491645421,86.7485060914214,229.7735219692,229.950432041085,230.182025413338,344.20689148794,344.299351850274,344.463644548725,66.7981784334001,66.3320857323747,67.160650156254,101.488457998638,100.717258941853,100.538793213099,231.599635297945,232.033840051873,230.818558077193
"M7",437.167946513766,437.375949933255,437.500993400754,342.159725689692,342.957345840618,342.463714129686,89.2790219327509,89.9007028431924,90.3957265618011,92.8226582799451,93.2121795796692,92.5399564175608,0,0.77575390896404,1.56720466486941,85.2907242722135,85.8424273211213,84.9207470131737,320.261248943933,320.401401170487,320.677870591792,434.655429393193,434.756867218787,434.929769867898,46.6569700586112,47.3974319529707,46.995591415911,34.97172443863,35.453044703812,36.1833528676764,169.318733699334,169.701367815526,168.614061402687
"M8",437.609144619191,437.818115510538,437.943851243032,342.595476130661,343.39374022165,342.901302356557,89.6603828165919,90.2836883738994,90.7787438745094,93.3169244938599,93.706813413191,93.028456293506,0.77575390896404,0,0.81561339806152,86.0602031073519,86.6121150089884,85.6904681283988,320.847609352337,320.988580931197,321.2640736278,435.247220397676,435.34845605757,435.521166454056,47.4256653548301,48.1655618378705,47.7653215952971,34.3336090104183,34.8285657470722,35.5654591447392,169.580351794129,169.962040459235,168.877187975726
"M9",438.275086238809,438.484769551111,438.611014602444,343.257558999179,344.056298247151,343.56474486261,90.2836233949783,90.9081621030291,91.403223250786,94.022474208443,94.4126038909679,93.7300753685975,1.56720466486941,0.81561339806152,0,86.7860342906867,87.3387269829739,86.4172176993015,321.609925431177,321.751363136242,322.02629955301,436.012515521371,436.113637582877,436.28623984145,48.2227836732479,48.9635700093915,48.5606477178967,33.8726615758297,34.388347927021,35.1349246297694,169.579918509682,169.960543988447,168.878454171067
"B1",405.196986402944,405.277220174919,405.311224705116,313.098558636053,313.788573475862,313.154855614694,97.7934177384634,97.9832142960905,98.2715475947432,86.5060627828379,86.6717616011995,87.0968359836917,85.2907242722135,86.0602031073519,86.7860342906867,0,0.581622135495381,0.426504335804978,271.063405230814,271.07815597154,271.491623972218,382.410624119557,382.539547729471,382.737528983865,42.0504568803434,41.5610365268507,41.5074602197545,117.534444612865,117.628738543154,118.133599414564,151.22663358768,151.667355015238,150.442691681181
"B2",404.863251531254,404.942673158065,404.976101810129,312.797186530604,313.486362143489,312.851853589209,97.9317143078581,98.1178655777603,98.4038739629148,86.5695470380434,86.732856370019,87.1651491645421,85.8424273211213,86.6121150089884,87.3387269829739,0.581622135495381,0,0.92214049855521,270.64056273163,270.654523706494,271.068778700528,381.956213573059,382.085285383708,382.283395499841,42.5261952051041,42.0318883625197,41.9851045491942,118.056256746261,118.14799790114,118.651222940069,151.443539049852,151.88424657812,150.659797782017
"B3",405.099565370961,405.180507354417,405.215014776197,312.973925091481,313.664627093503,313.031560040151,97.4174907619159,97.6085959057557,97.8977694964954,86.1598146990855,86.3265456543318,86.7485060914214,84.9207470131737,85.6904681283988,86.4172176993015,0.426504335804978,0.92214049855521,0,271.051798963403,271.067393067891,271.480019637165,382.434094479588,382.562844245926,382.760674312066,41.6348853852943,41.1441044944914,41.092446759382,117.139128346505,117.231860332684,117.735756305954,151.41734105649,151.858068937894,150.633263329165
"Butterfly trail",149.989086674599,149.813251614339,149.668136098114,88.7467438279399,88.7240566365827,87.947635523077,238.204720206481,237.551747457043,237.108020243888,229.284044807473,228.891628390678,229.7735219692,320.261248943933,320.847609352337,321.609925431177,271.063405230814,270.64056273163,271.051798963403,0,0.536237801532608,0.428221601973467,114.46735985547,114.563478060459,114.731483567022,282.350149520449,281.61304304374,282.390035641077,330.902995208456,330.070224729938,329.823302642364,413.177088136229,413.599826904395,412.438781785203
"Sunset Trail",150.269586023768,150.091700151619,149.94514830636,89.2448233315282,89.2201732219435,88.4442551585624,238.409659092753,237.756871808257,237.313603668953,229.459192631954,229.066852855127,229.950432041085,320.401401170487,320.988580931197,321.751363136242,271.07815597154,270.654523706494,271.067393067891,0.536237801532608,0,0.676066064078585,114.307331466994,114.404245354563,114.573015380844,282.443014529336,281.705421021169,282.481793710711,331.095307910213,330.263767775773,330.018140877048,413.108874663536,413.531452582071,412.370916047777
"Upper Solders Camp Rd.",149.630874675146,149.453989304565,149.308144155305,88.6006352526904,88.5740118336113,87.7985931722675,238.605398665824,237.952369918846,237.508502809949,229.69299281136,229.300557492001,230.182025413338,320.677870591792,321.2640736278,322.02629955301,271.491623972218,271.068778700528,271.480019637165,0.428221601973467,0.676066064078585,0,114.055299408163,114.151236517811,114.319068837699,282.774010506094,282.036960188867,282.814023349503,331.307320163333,330.474202070343,330.226910787884,413.599955775922,414.022674161244,412.86169337145
"H1",114.215154474552,113.591450722241,113.141121708433,139.456926489829,138.73143218383,138.470395513185,352.387279738389,351.732092254666,351.28235081352,343.724907735941,343.332205262327,344.20689148794,434.655429393193,435.247220397676,436.012515521371,382.410624119557,381.956213573059,382.434094479588,114.46735985547,114.307331466994,114.055299408163,0,0.202356889029428,0.438088150811789,396.106429961498,395.35988753945,396.1235681788,445.213305618421,444.367685660997,444.10658843217,519.28489660595,519.694263618752,518.57471759957
