"site1","site2","jaccard.dissimilarity","env","clim","spatial.site","horn.dissimilarity","range.1","range.2","comp.range"
"A1","A1",0,0,0,0,0,"Flagstaff","Flagstaff","Same"
"A2","A1",0.992727273,0.055697165,0.000507032,1.163072289,0.993900809,"Flagstaff","Flagstaff","Same"
"A3","A1",1,0.008732424,0.003719483,1.986395629,1,"Flagstaff","Flagstaff","Same"
"B1","A1",1,2.812641488,2.148055347,117.5344446,1,"Bradshaw","Flagstaff","Different"
"B2","A1",1,2.779308374,2.142713255,118.0562567,1,"Bradshaw","Flagstaff","Different"
"B3","A1",0.994497937,2.825966219,2.142257527,117.1391283,0.992377536,"Bradshaw","Flagstaff","Different"
"Butterfly trail","A1",0.991288114,4.411546514,4.247090649,330.9029952,0.990946584,"MtLemmon","Flagstaff","Different"
"C1","A1",1,3.169701814,3.408248362,438.7610437,1,"Chiricahuas","Flagstaff","Different"
"C2","A1",0.994541485,3.091710443,3.401152982,439.02128,0.999010198,"Chiricahuas","Flagstaff","Different"
"C3","A1",0.995509942,3.672462293,3.394960572,439.183803,0.995962979,"Chiricahuas","Flagstaff","Different"
"H1","A1",1,5.673595944,5.078487201,445.2133056,1,"Huachuas","Flagstaff","Different"
"H2","A1",1,5.634182749,5.067915985,445.3011808,1,"Huachuas","Flagstaff","Different"
"H3","A1",1,5.553466321,5.045969321,445.4609736,1,"Huachuas","Flagstaff","Different"
"H4","A1",0.982618772,2.32272783,1.300184029,198.6404477,0.968582031,"Hualapai","Flagstaff","Different"
"H5","A1",1,3.458552288,1.238258456,198.9983129,1,"Hualapai","Flagstaff","Different"
"H6","A1",1,3.87681451,1.408428707,197.9756994,1,"Hualapai","Flagstaff","Different"
"M1","A1",0.972717733,1.397697077,1.551565519,92.9648348,0.849688554,"MogollonRim","Flagstaff","Different"
"M2","A1",1,1.393390726,1.559870054,93.62309728,1,"MogollonRim","Flagstaff","Different"
"M3","A1",1,1.397297419,1.565772736,94.08500807,1,"MogollonRim","Flagstaff","Different"
"M4","A1",0.96969697,3.819488075,2.528057211,102.060037,0.945363699,"MogollonRim","Flagstaff","Different"
"M5","A1",1,3.117356952,2.526650112,102.4462236,1,"MogollonRim","Flagstaff","Different"
"M6","A1",0.952614379,3.111120694,2.45530014,101.488458,0.914222563,"MogollonRim","Flagstaff","Different"
"M7","A1",0.966555184,1.277069996,0.968936966,34.97172444,0.947150151,"MogollonRim","Flagstaff","Different"
"M8","A1",0.994535519,1.19764019,0.891113074,34.33360901,0.990762825,"MogollonRim","Flagstaff","Different"
"M9","A1",0.866782007,1.138258159,0.832827949,33.87266158,0.725496112,"MogollonRim","Flagstaff","Different"
"N1","A1",1,1.516049237,1.740138674,76.29872503,1,"Mingus","Flagstaff","Different"
"N2","A1",1,1.465717829,1.695629132,76.92642918,1,"Mingus","Flagstaff","Different"
"N3","A1",0.855437666,1.491131091,1.722358639,76.76948996,0.69680736,"Mingus","Flagstaff","Different"
"P1","A1",0.994862214,3.583390496,3.327222963,343.8355222,0.989938222,"Pinaleno","Flagstaff","Different"
"P2","A1",1,3.577069433,3.426074764,344.6640374,1,"Pinaleno","Flagstaff","Different"
"P3","A1",1,2.83506935,3.377077227,344.237762,1,"Pinaleno","Flagstaff","Different"
"Sunset Trail","A1",0.996441281,3.616607328,4.218694735,331.0953079,0.996945795,"MtLemmon","Flagstaff","Different"
