"","C1","C2","C3","P1","P2","P3","M1","M2","M3","B1","B2","B3","Butterfly trail","Sunset Trail","Upper Solders Camp Rd.","H1","H2","H3","N1","N2","N3"
"C1",0,0.695169655033903,1.18624075172732,95.0679986089386,94.2578856591596,94.731264476783,348.384661985485,347.741779532414,347.249341497653,405.196986402944,404.863251531254,405.099565370961,149.989086674599,150.269586023768,149.630874675146,114.215154474552,114.052211960517,113.905877575993,407.152692002233,406.501327926052,407.335300583787
"C2",0.695169655033903,0,0.491400997425869,95.2984750549006,94.4862064807683,94.9550353443904,348.608705459316,347.965550847409,347.473210111798,405.277220174919,404.942673158065,405.180507354417,149.813251614339,150.091700151619,149.453989304565,113.591450722241,113.428185476068,113.281339784048,407.30384733009,406.651762478757,407.485515142915
"C3",1.18624075172732,0.491400997425869,0,95.4418004310466,94.6280140068847,95.0935754908733,348.745398540925,348.102050241401,347.60978034351,405.311224705116,404.976101810129,405.215014776197,149.668136098114,149.94514830636,149.308144155305,113.141121708433,112.977649396609,112.830475333163,407.388309749635,406.735711947838,407.569306298241
"P1",95.0679986089386,95.2984750549006,95.4418004310466,0,0.868882433700524,1.02758189161956,253.320134892407,252.677662150387,252.185079856848,313.098558636053,312.797186530604,312.973925091481,88.7467438279399,89.2448233315282,88.6006352526904,139.456926489829,139.418193672064,139.439270910358,312.918745849057,312.283103742126,313.121217140313
"P2",94.2578856591596,94.4862064807683,94.6280140068847,0.868882433700524,0,0.806641381582205,254.127794210689,253.485136792623,252.992617688289,313.788573475862,313.486362143489,313.664627093503,88.7240566365827,89.2201732219435,88.5740118336113,138.73143218383,138.692017441777,138.712275375338,313.673269520699,313.037000265956,313.874972929939
"P3",94.731264476783,94.9550353443904,95.0935754908733,1.02758189161956,0.806641381582205,0,253.653960592606,253.010930655496,252.518542466984,313.154855614694,312.851853589209,313.031560040151,87.947635523077,88.4442551585624,87.7985931722675,138.470395513185,138.432074853585,138.453650754731,313.112091282824,312.474982460178,313.312764251205
"M1",348.384661985485,348.608705459316,348.745398540925,253.320134892407,254.127794210689,253.653960592606,0,0.658926256192741,1.13916191285429,97.7934177384634,97.9317143078581,97.4174907619159,238.204720206481,238.409659092753,238.605398665824,352.387279738389,352.472819398299,352.630331961312,71.627793245276,71.3062033718725,72.0815217530295
"M2",347.741779532414,347.965550847409,348.102050241401,252.677662150387,253.485136792623,253.010930655496,0.658926256192741,0,0.495061351466954,97.9832142960905,98.1178655777603,97.6085959057557,237.551747457043,237.756871808257,237.952369918846,351.732092254666,351.817595475598,351.975072244903,72.0464137923059,71.7197519703295,72.4974296595592
"M3",347.249341497653,347.473210111798,347.60978034351,252.185079856848,252.992617688289,252.518542466984,1.13916191285429,0.495061351466954,0,98.2715475947432,98.4038739629148,97.8977694964954,237.108020243888,237.313603668953,237.508502809949,351.28235081352,351.367746071757,351.525116376622,72.4677389324261,72.1384975947643,72.9173654990045
"B1",405.196986402944,405.277220174919,405.311224705116,313.098558636053,313.788573475862,313.154855614694,97.7934177384634,97.9832142960905,98.2715475947432,0,0.581622135495381,0.426504335804978,271.063405230814,271.07815597154,271.491623972218,382.410624119557,382.539547729471,382.737528983865,42.0504568803434,41.5610365268507,41.5074602197545
"B2",404.863251531254,404.942673158065,404.976101810129,312.797186530604,313.486362143489,312.851853589209,97.9317143078581,98.1178655777603,98.4038739629148,0.581622135495381,0,0.92214049855521,270.64056273163,270.654523706494,271.068778700528,381.956213573059,382.085285383708,382.283395499841,42.5261952051041,42.0318883625197,41.9851045491942
"B3",405.099565370961,405.180507354417,405.215014776197,312.973925091481,313.664627093503,313.031560040151,97.4174907619159,97.6085959057557,97.8977694964954,0.426504335804978,0.92214049855521,0,271.051798963403,271.067393067891,271.480019637165,382.434094479588,382.562844245926,382.760674312066,41.6348853852943,41.1441044944914,41.092446759382
"Butterfly trail",149.989086674599,149.813251614339,149.668136098114,88.7467438279399,88.7240566365827,87.947635523077,238.204720206481,237.551747457043,237.108020243888,271.063405230814,270.64056273163,271.051798963403,0,0.536237801532608,0.428221601973467,114.46735985547,114.563478060459,114.731483567022,282.350149520449,281.61304304374,282.390035641077
"Sunset Trail",150.269586023768,150.091700151619,149.94514830636,89.2448233315282,89.2201732219435,88.4442551585624,238.409659092753,237.756871808257,237.313603668953,271.07815597154,270.654523706494,271.067393067891,0.536237801532608,0,0.676066064078585,114.307331466994,114.404245354563,114.573015380844,282.443014529336,281.705421021169,282.481793710711
"Upper Solders Camp Rd.",149.630874675146,149.453989304565,149.308144155305,88.6006352526904,88.5740118336113,87.7985931722675,238.605398665824,237.952369918846,237.508502809949,271.491623972218,271.068778700528,271.480019637165,0.428221601973467,0.676066064078585,0,114.055299408163,114.151236517811,114.319068837699,282.774010506094,282.036960188867,282.814023349503
"H1",114.215154474552,113.591450722241,113.141121708433,139.456926489829,138.73143218383,138.470395513185,352.387279738389,351.732092254666,351.28235081352,382.410624119557,381.956213573059,382.434094479588,114.46735985547,114.307331466994,114.055299408163,0,0.202356889029428,0.438088150811789,396.106429961498,395.35988753945,396.1235681788
