"site1","site2","jaccard.dissimilarity","spatial.site","range.1","range.2","horn.dissimilarity","range.comp"
"B1","B1",0,0,"Bradshaw","Bradshaw",0,"Same"
"B2","B1",0.806451612903226,0.581622135,"Bradshaw","Bradshaw",0.712047191758059,"Same"
"B3","B1",0.835526315789474,0.426504336,"Bradshaw","Bradshaw",0.696231521913826,"Same"
"C1","B1",0.777777777777778,405.1969864,"Chiricahua","Bradshaw",0.0382913321143704,"Different"
"C2","B1",0.806451612903226,405.2772202,"Chiricahua","Bradshaw",0.503582802547771,"Different"
"C3","B1",0.8125,405.3112247,"Chiricahua","Bradshaw",0.707279005714827,"Different"
"H1","B1",0.868852459016394,382.4106241,"Huachuca","Bradshaw",0.6304289631228,"Different"
"H2","B1",0.761194029850746,382.5395477,"Huachuca","Bradshaw",0.526123962370894,"Different"
"H3","B1",0.891891891891892,382.737529,"Huachuca","Bradshaw",0.891760214285086,"Different"
"M1","B1",0.989583333333333,97.79341774,"MogollonRim","Bradshaw",0.96827727393762,"Different"
"M2","B1",0.937984496124031,97.9832143,"MogollonRim","Bradshaw",0.924791201290745,"Different"
"M3","B1",0.951048951048951,98.27154759,"MogollonRim","Bradshaw",0.903334123105924,"Different"
"N1","B1",0.751824817518248,42.05045688,"Mingus","Bradshaw",0.501811695837177,"Different"
"N2","B1",0.710526315789474,41.56103653,"Mingus","Bradshaw",0.281484322339214,"Different"
"N3","B1",0.911764705882353,41.50746022,"Mingus","Bradshaw",0.843094322520715,"Different"
"P1","B1",0.948275862068966,313.0985586,"Pinaleno","Bradshaw",0.948841052141387,"Different"
"P2","B1",0.869565217391304,313.7885735,"Pinaleno","Bradshaw",0.648271349111135,"Different"
"P3","B1",0.960629921259842,313.1548556,"Pinaleno","Bradshaw",0.960546080419624,"Different"
"Sunset.Trail","B1",0.833333333333333,271.078156,"SantaCatalina","Bradshaw",0.635912788412108,"Different"
"Upper.Solders.Camp.Rd.","B1",0.923076923076923,271.491624,"SantaCatalina","Bradshaw",0.932463452941887,"Different"
"B1","B2",0.806451612903226,0.581622135,"Bradshaw","Bradshaw",0.712047191758059,"Same"
"B2","B2",0,0,"Bradshaw","Bradshaw",0,"Same"
"B3","B2",0.854166666666667,0.922140499,"Bradshaw","Bradshaw",0.592837469022302,"Same"
"C1","B2",0.837837837837838,404.8632515,"Chiricahua","Bradshaw",0.70438484461473,"Different"
"C2","B2",0.73469387755102,404.9426732,"Chiricahua","Bradshaw",0.421965317919075,"Different"
