"","B1","B2","B3","C1","C2","C3","H1","H2","H3","M1","M2","M3","N1","N2","N3","P1","P2","Sunset Trail","Upper Solders Camp Rd."
"B1",0,0.581622135495381,0.426504335804978,405.196986402944,405.277220174919,405.311224705116,382.410624119557,382.539547729471,382.737528983865,97.7934177384634,97.9832142960905,98.2715475947432,42.0504568803434,41.5610365268507,41.5074602197545,313.098558636053,313.788573475862,271.07815597154,271.491623972218
"B2",0.581622135495381,0,0.92214049855521,404.863251531254,404.942673158064,404.976101810129,381.956213573059,382.085285383708,382.283395499841,97.9317143078581,98.1178655777603,98.4038739629148,42.5261952051041,42.0318883625197,41.9851045491942,312.797186530605,313.486362143489,270.654523706494,271.068778700528
"B3",0.426504335804978,0.92214049855521,0,405.099565370961,405.180507354417,405.215014776197,382.434094479588,382.562844245926,382.760674312066,97.4174907619159,97.6085959057557,97.8977694964954,41.6348853852943,41.1441044944914,41.092446759382,312.973925091481,313.664627093504,271.067393067891,271.480019637165
"C1",405.196986402944,404.863251531254,405.099565370961,0,0.695169655033903,1.18624075172732,114.215154474552,114.052211960517,113.905877575993,348.384661985485,347.741779532414,347.249341497653,407.152692002233,406.501327926052,407.335300583787,95.0679986089386,94.2578856591596,150.269586023768,149.630874675146
"C2",405.277220174919,404.942673158064,405.180507354417,0.695169655033903,0,0.491400997425869,113.591450722241,113.428185476068,113.281339784048,348.608705459316,347.965550847409,347.473210111798,407.30384733009,406.651762478757,407.485515142915,95.2984750549006,94.4862064807683,150.091700151619,149.453989304565
"C3",405.311224705116,404.976101810129,405.215014776197,1.18624075172732,0.491400997425869,0,113.141121708433,112.977649396609,112.830475333163,348.745398540925,348.102050241401,347.60978034351,407.388309749635,406.735711947838,407.569306298241,95.4418004310466,94.6280140068847,149.94514830636,149.308144155305
"H1",382.410624119557,381.956213573059,382.434094479588,114.215154474552,113.591450722241,113.141121708433,0,0.202356889029428,0.438088150811789,352.387279738389,351.732092254666,351.28235081352,396.106429961498,395.35988753945,396.1235681788,139.456926489829,138.73143218383,114.307331466994,114.055299408162
"H2",382.539547729471,382.085285383708,382.562844245926,114.052211960517,113.428185476068,112.977649396609,0.202356889029428,0,0.239996077556429,352.472819398299,351.817595475598,351.367746071757,396.218759589366,395.472316052228,396.236149647221,139.418193672065,138.692017441777,114.404245354563,114.151236517812
"H3",382.737528983865,382.283395499841,382.760674312066,113.905877575993,113.281339784048,112.830475333163,0.438088150811789,0.239996077556429,0,352.630331961312,351.975072244904,351.525116376622,396.401864373674,395.655512056732,396.419486390274,139.439270910358,138.712275375339,114.573015380844,114.319068837699
"M1",97.7934177384634,97.9317143078581,97.4174907619159,348.384661985485,348.608705459316,348.745398540925,352.387279738389,352.472819398299,352.630331961312,0,0.658926256192741,1.13916191285429,71.627793245276,71.3062033718725,72.0815217530295,253.320134892407,254.127794210689,238.409659092753,238.605398665824
"M2",97.9832142960905,98.1178655777603,97.6085959057557,347.741779532414,347.965550847409,348.102050241401,351.732092254666,351.817595475598,351.975072244904,0.658926256192741,0,0.495061351466954,72.0464137923059,71.7197519703295,72.4974296595592,252.677662150387,253.485136792623,237.756871808257,237.952369918846
"M3",98.2715475947432,98.4038739629148,97.8977694964954,347.249341497653,347.473210111798,347.60978034351,351.28235081352,351.367746071757,351.525116376622,1.13916191285429,0.495061351466954,0,72.4677389324261,72.1384975947643,72.9173654990045,252.185079856848,252.992617688289,237.313603668953,237.508502809949
"N1",42.0504568803434,42.5261952051041,41.6348853852943,407.152692002233,407.30384733009,407.388309749635,396.106429961498,396.218759589366,396.401864373674,71.627793245276,72.0464137923059,72.4677389324261,0,0.781838122408179,0.592930399586841,312.918745849057,313.673269520699,282.443014529336,282.774010506094
"N2",41.5610365268507,42.0318883625197,41.1441044944914,406.501327926052,406.651762478757,406.735711947838,395.35988753945,395.472316052228,395.655512056732,71.3062033718725,71.7197519703295,72.1384975947643,0.781838122408179,0,0.844219287223755,312.283103742126,313.037000265956,281.705421021169,282.036960188867
"N3",41.5074602197545,41.9851045491942,41.092446759382,407.335300583787,407.485515142915,407.569306298241,396.1235681788,396.236149647221,396.419486390274,72.0815217530295,72.4974296595592,72.9173654990045,0.592930399586841,0.844219287223755,0,313.121217140313,313.874972929938,282.481793710711,282.814023349503
"P1",313.098558636053,312.797186530605,312.973925091481,95.0679986089386,95.2984750549006,95.4418004310466,139.456926489829,139.418193672065,139.439270910358,253.320134892407,252.677662150387,252.185079856848,312.918745849057,312.283103742126,313.121217140313,0,0.868882433700524,89.2448233315282,88.6006352526904
"P2",313.788573475862,313.486362143489,313.664627093504,94.2578856591596,94.4862064807683,94.6280140068847,138.73143218383,138.692017441777,138.712275375339,254.127794210689,253.485136792623,252.992617688289,313.673269520699,313.037000265956,313.874972929938,0.868882433700524,0,89.2201732219435,88.5740118336113
"Sunset Trail",271.07815597154,270.654523706494,271.067393067891,150.269586023768,150.091700151619,149.94514830636,114.307331466994,114.404245354563,114.573015380844,238.409659092753,237.756871808257,237.313603668953,282.443014529336,281.705421021169,282.481793710711,89.2448233315282,89.2201732219435,0,0.676066064078585
"Upper Solders Camp Rd.",271.491623972218,271.068778700528,271.480019637165,149.630874675146,149.453989304565,149.308144155305,114.055299408162,114.151236517812,114.319068837699,238.605398665824,237.952369918846,237.508502809949,282.774010506094,282.036960188867,282.814023349503,88.6006352526904,88.5740118336113,0.676066064078585,0
