Site,range,lat,dist.cont,dist.closest.site,dist.closest.forest,BIO1,BIO7,BIO12,BIO16,BIO17,forest,env.pca,clim.pca,OTU,count,Class.TBAS,Class.Blast
B3,Bradshaw,34.42161,89.50882703,42.16481,42.16481,9.237270651,32.42859891,620.072076,240.8144152,55.9068,pine-Doug fir,-0.530478894,-1.07501483,Otu111,1,Dothideomycetes,NA
B1,Bradshaw,34.41944,89.87274476,42.16481,42.16481,9.217311274,32.21681317,623.7916045,241.6878022,56.1672,pine-Doug fir,-0.535773714,-1.072355897,Otu525,1,Pezizomycetes,NA
C1,Chiricahua,31.91445,377.5575315,94.46849,95.29621786,9.442872175,31.26301068,644.967728,319.9647776,51.9726592,pine,0.154920146,0.533684337,Otu525,1,Pezizomycetes,NA
P1,Pinaleno,32.62996,282.3457488,88.5,44.20454408,9.212201894,30.39460051,689.0031923,311.5263974,54.4776,pine-Doug fir,0.678323572,0.385617355,Otu525,1,Pezizomycetes,NA
M3,MogollonRim,34.50171,35.95754316,16.157814,0,8.074092669,37.58792467,655.5913189,233.5363566,61,pine,-2.101814545,-1.877165706,Otu841,1,Leotiomycetes,NA
Upper Solders Camp Rd.,Santa.Catalina,32.42644,263.8268864,88.5,29.71175494,10.49815186,29.5796078,741.6707738,325.0419635,52.92347008,pine-Doug fir,1.688678776,1.55322257,Otu216,1,Dothideomycetes,NA
B2,Bradshaw,34.41424,90.12469198,42.16481,42.16481,9.21611338,31.93765876,628.5602182,242.7269091,56.7912,pine-Doug fir,-0.560589713,-1.087600193,Otu316,1,Sordariomycetes,Taphrinomycetes
H1,Huachuca,31.4533,378.1461492,114.3,54.78664003,12.58816371,29.90639964,649.8687808,330.7955808,43.52,pine-Doug fir,3.000831425,2.744826203,Otu316,1,Sordariomycetes,Taphrinomycetes
Upper Solders Camp Rd.,Santa.Catalina,32.42644,263.8268864,88.5,29.71175494,10.49815186,29.5796078,741.6707738,325.0419635,52.92347008,pine-Doug fir,1.688678776,1.55322257,Otu316,1,Sordariomycetes,Taphrinomycetes
C2,Chiricahua,31.90948,377.7694222,94.46849,95.53016385,9.300589515,30.90384584,655.7959168,324.7645952,53.0432896,pine,0.104228839,0.50700601,Otu70,1,Sordariomycetes,Taphrinomycetes
C3,Chiricahua,31.9061,377.8973058,94.46849,95.67591477,9.184048078,30.5838028,665.1683584,328.9918976,54.0120448,pine-Doug fir,0.800261247,0.483493031,Otu70,1,Sordariomycetes,Taphrinomycetes
M2,MogollonRim,34.50509,35.64753928,16.157814,0,8.066597197,37.50015069,654.5696466,233.7784,61.00604656,pine,-2.106980972,-1.884283966,Otu70,1,Sordariomycetes,Taphrinomycetes
P1,Pinaleno,32.62996,282.3457488,88.5,44.20454408,9.212201894,30.39460051,689.0031923,311.5263974,54.4776,pine-Doug fir,0.678323572,0.385617355,Otu70,1,Sordariomycetes,Taphrinomycetes
H1,Huachuca,31.4533,378.1461492,114.3,54.78664003,12.58816371,29.90639964,649.8687808,330.7955808,43.52,pine-Doug fir,3.000831425,2.744826203,Otu659,1,Leotiomycetes,NA
B3,Bradshaw,34.42161,89.50882703,42.16481,42.16481,9.237270651,32.42859891,620.072076,240.8144152,55.9068,pine-Doug fir,-0.530478894,-1.07501483,Otu179,1,Sordariomycetes,NA
B2,Bradshaw,34.41424,90.12469198,42.16481,42.16481,9.21611338,31.93765876,628.5602182,242.7269091,56.7912,pine-Doug fir,-0.560589713,-1.087600193,Otu727,1,Pezizomycetes,NA
B1,Bradshaw,34.41944,89.87274476,42.16481,42.16481,9.217311274,32.21681317,623.7916045,241.6878022,56.1672,pine-Doug fir,-0.535773714,-1.072355897,Otu350,1,Dothideomycetes,NA
B1,Bradshaw,34.41944,89.87274476,42.16481,42.16481,9.217311274,32.21681317,623.7916045,241.6878022,56.1672,pine-Doug fir,-0.535773714,-1.072355897,Otu415,1,Sordariomycetes,NA
B1,Bradshaw,34.41944,89.87274476,42.16481,42.16481,9.217311274,32.21681317,623.7916045,241.6878022,56.1672,pine-Doug fir,-0.535773714,-1.072355897,Otu469,1,Saccharomycetes,Tremellomycetes
P1,Pinaleno,32.62996,282.3457488,88.5,44.20454408,9.212201894,30.39460051,689.0031923,311.5263974,54.4776,pine-Doug fir,0.678323572,0.385617355,Otu37,1,Sordariomycetes,Sordariomycetes
B2,Bradshaw,34.41424,90.12469198,42.16481,42.16481,9.21611338,31.93765876,628.5602182,242.7269091,56.7912,pine-Doug fir,-0.560589713,-1.087600193,Otu1167,1,Dothideomycetes,Leotiomycetes
C2,Chiricahua,31.90948,377.7694222,94.46849,95.53016385,9.300589515,30.90384584,655.7959168,324.7645952,53.0432896,pine,0.104228839,0.50700601,Otu1167,1,Dothideomycetes,Leotiomycetes
P1,Pinaleno,32.62996,282.3457488,88.5,44.20454408,9.212201894,30.39460051,689.0031923,311.5263974,54.4776,pine-Doug fir,0.678323572,0.385617355,Otu1167,1,Dothideomycetes,Leotiomycetes
P2,Pinaleno,32.62231,283.1459416,88.5,44.89789319,9.212364955,29.43149457,707.127759,320.1048406,55.79290368,pine-Doug fir,0.733419131,0.487209552,Otu1167,1,Dothideomycetes,Leotiomycetes
B1,Bradshaw,34.41944,89.87274476,42.16481,42.16481,9.217311274,32.21681317,623.7916045,241.6878022,56.1672,pine-Doug fir,-0.535773714,-1.072355897,Otu630,1,Leotiomycetes,NA
C1,Chiricahua,31.91445,377.5575315,94.46849,95.29621786,9.442872175,31.26301068,644.967728,319.9647776,51.9726592,pine,0.154920146,0.533684337,Otu630,1,Leotiomycetes,NA
P2,Pinaleno,32.62231,283.1459416,88.5,44.89789319,9.212364955,29.43149457,707.127759,320.1048406,55.79290368,pine-Doug fir,0.733419131,0.487209552,Otu303,1,Dothideomycetes,NA
Upper Solders Camp Rd.,Santa.Catalina,32.42644,263.8268864,88.5,29.71175494,10.49815186,29.5796078,741.6707738,325.0419635,52.92347008,pine-Doug fir,1.688678776,1.55322257,Otu303,1,Dothideomycetes,NA
B1,Bradshaw,34.41944,89.87274476,42.16481,42.16481,9.217311274,32.21681317,623.7916045,241.6878022,56.1672,pine-Doug fir,-0.535773714,-1.072355897,Otu74,1,Eurotiomycetes,Eurotiomycetes
C1,Chiricahua,31.91445,377.5575315,94.46849,95.29621786,9.442872175,31.26301068,644.967728,319.9647776,51.9726592,pine,0.154920146,0.533684337,Otu11,1,Dothideomycetes,NA
C3,Chiricahua,31.9061,377.8973058,94.46849,95.67591477,9.184048078,30.5838028,665.1683584,328.9918976,54.0120448,pine-Doug fir,0.800261247,0.483493031,Otu718,1,Leotiomycetes,NA
H1,Huachuca,31.4533,378.1461492,114.3,54.78664003,12.58816371,29.90639964,649.8687808,330.7955808,43.52,pine-Doug fir,3.000831425,2.744826203,Otu718,1,Leotiomycetes,NA
M3,MogollonRim,34.50171,35.95754316,16.157814,0,8.074092669,37.58792467,655.5913189,233.5363566,61,pine,-2.101814545,-1.877165706,Otu718,1,Leotiomycetes,NA
B1,Bradshaw,34.41944,89.87274476,42.16481,42.16481,9.217311274,32.21681317,623.7916045,241.6878022,56.1672,pine-Doug fir,-0.535773714,-1.072355897,Otu28,1,Dothideomycetes,NA
M1,MogollonRim,34.51059,35.31552373,16.157814,0,8.138696004,37.55118083,652.3248944,232.4584,61.0760944,pine,-2.110470685,-1.893430034,Otu6,1,NA,NA
