Isolate_name,Tiered_comm_concentration,Even_community_concentration,Phylum,Subphylum,Class,Family,Genus,Species
CBS 675.73,13.2,1.84,Chytridiomycota,,Chytridiomycetes,Chytridiaceae,Chytridium,Chytridium confervae
CBS 385.95,2.3,1.84,Mucoromycota,Mucoromycotina,,Mucoraceae,Mucor,Mucor endophyticus
CBS 133434,7.16,1.84,Zoopagomycota,Entomophthoromycotina,,Ancylistaceae,,Conidiobolus
CBS 218.59,4.44,1.84,Zoopagomycota,Kickxellomycotina,,Dimargaritaceae,Dimargaris,Dimargaris bacillispora
CBS 210.32,6.2,1.84,Mucoromycota,Mucoromycotina,,Mortierellaceae,Mortierella,Mortierella alpina
P3112,0.94,-,Basidiomycota,Pucciniomycotina,,,,Pucciniomycotina
CBS 6001,4.04,1.84,Basidiomycota,Ustilaginomycotina,Exobasidiomycetes,,Malassezia,Malassezia
CBS 371.53,3.57,1.84,Basidiomycota,Ustilaginomycotina,Ustilaginomycetes,Ustilaginaceae,Ustilago,Ustilago cynodontis
CBS 6965,4.28,1.84,Basidiomycota,Agaricomycotina,Tremellomycetes,Tremellaceae,Tremella,Tremella aurantia
CBS 107930,2.02,1.84,Basidiomycota,Agaricomycotina,Agaricomycetes,Hericiaceae,Hericium,Hericium abietis
CBS 408.71,2.08,1.84,Basidiomycota,Agaricomycotina,Agaricomycetes,Sparassidaceae,Sparassis,Sparassis crispa
CBS 107.57,18.3,1.84,Basidiomycota,Agaricomycotina,Agaricomycetes,Suillaceae,Suillus,Suillus brevipes
CBS 251.37,23.6,1.84,Basidiomycota,Agaricomycotina,Agaricomycetes,Psathyrellaceae,Panaeolina,Panaeolina foenisecii
CBS 352,5.68,1.84,Ascomycota,Taphrinomycotina,Schizosaccharomycetes,Schizosaccharomycetaceae,Schizosaccharomyces,Schizosaccharomyces pombe
CBS 7744,10.6,1.84,Ascomycota,Saccharomycotina,Saccharomycetes,Metschnikowiaceae,Metschnikowia,Metschnikowia agaves
CBS 158.61,10.2,1.84,Ascomycota,Pezizomycotina,Sordariomycetes,,Acremonium,Acremonium kiliense
CBS 124948,2.53,1.84,Ascomycota,Pezizomycotina,Sordariomycetes,Glomerellaceae,Colletotrichum,Colletotrichum tropicale
CBS 121445,10.4,1.84,Ascomycota,Pezizomycotina,Sordariomycetes,Coniochaetaceae,Coniochaeta,Coniochaeta prunicola
CBS 161.73,1.84,1.84,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporaceae,Epicoccum,Epicoccum nigrum
CBS 130337,2.98,1.84,Ascomycota,Pezizomycotina,Sordariomycetes,Nectriaceae,Fusarium,Fusarium torulosum
CBS 385.35,5.16,1.84,Ascomycota,Pezizomycotina,Sordariomycetes,Xylariaceae,Xylaria,Xylaria mali
CBS 100462,3.08,1.84,Ascomycota,Pezizomycotina,Dothideomycetes,Cladosporiaceae,Cladosporium,Cladosporium sphaerospermum
CBS 197.82,10.4,1.84,Ascomycota,Pezizomycotina,Dothideomycetes,Didymosphaeriaceae,Dendrothyrium,Dendrothyrium variisporum
CBS 130859,5.44,1.84,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreaceae,Hypocrea,Hypocrea orientalis
CBS 110123,23.2,1.84,Ascomycota,,Ascomycetes,,Lecanicillium,Lecanicillium muscarium
CBS 122753,6.08,1.84,Ascomycota,Pezizomycotina,Eurotiomycetes,,Neophaeomoniella,Neophaeomoniella zymoides
CBS 186.71,6.48,1.84,Ascomycota,Pezizomycotina,Sordariomycetes,Pestalotiopsidaceae,Pestalotiopsis,Pestalotiopsis chamaeropis
Peachpath1,2.58,1.84,Ascomycota,Pezizomycotina,Dothideomycetes,,Phoma,Phoma sp. A cf. aliena
CBS 116499,11.8,1.84,Ascomycota,Pezizomycotina,Sordariomycetes,Discosiaceae,Seimatosporium,Seimatosporium lonicerae
CBS 119120,2.1,1.84,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreaceae,Trichoderma,Trichoderma theobromicola
CBS 388.52,5.4,1.84,Ascomycota,Pezizomycotina,Leotiomycetes,ÊSclerotiniaceae,ÊBotryotinia,Botryotinia sp.
AZ0245,13,1.84,Ascomycota,Pezizomycotina,Pezizomycete,,,
