Community,OTU,read.no,mock.member,Phylum,Class
MockEven,Otu76,111564,P3112,Basidiomycota,
MockTiered,Otu76,8742,P3112,Basidiomycota,
MockEven,Otu100,55837,CBS 7744,Ascomycota,Saccharomycetes
MockTiered,Otu100,36894,CBS 7744,Ascomycota,Saccharomycetes
MockEven,Otu152,16060,CBS 408.71,Basidiomycota,Agaricomycetes
MockTiered,Otu152,2763,CBS 408.71,Basidiomycota,Agaricomycetes
MockEven,Otu6,20967,CBS 161.73,Ascomycota,Dothideomycetes
MockTiered,Otu6,6793,CBS 161.73,Ascomycota,Dothideomycetes
MockEven,Otu77,25649,CBS 107930,Basidiomycota,Agaricomycetes
MockTiered,Otu77,5370,CBS 107930,Basidiomycota,Agaricomycetes
MockEven,Otu2,12370,CBS 388.52,Ascomycota,Leotiomycetes
MockTiered,Otu2,10882,CBS 388.52,Ascomycota,Leotiomycetes
MockEven,Otu7,8531,CBS 124948,Ascomycota,Sordariomycetes
MockTiered,Otu7,969,CBS 124948,Ascomycota,Sordariomycetes
MockEven,Otu116,87999,CBS 158.61,Ascomycota,Sordariomycetes
MockTiered,Otu116,127544,CBS 158.61,Ascomycota,Sordariomycetes
MockEven,Otu14,19773,CBS 6965,Basidiomycota,Tremellomycetes
MockTiered,Otu14,18113,CBS 6965,Basidiomycota,Tremellomycetes
MockEven,Otu9,13675,CBS 116499,Ascomycota,Sordariomycetes
MockTiered,Otu9,17103,CBS 116499,Ascomycota,Sordariomycetes
MockEven,Otu248,22058,CBS 251.37,Basidiomycota,Agaricomycetes
MockTiered,Otu248,91728,CBS 251.37,Basidiomycota,Agaricomycetes
MockEven,Otu11,5944,CBS 6001,Basidiomycota,Exobasidiomycetes
MockTiered,Otu11,4038,CBS 6001,Basidiomycota,Exobasidiomycetes
MockEven,Otu4,8649,CBS 121445,Ascomycota,Sordariomycetes
MockTiered,Otu4,17620,CBS 121445,Ascomycota,Sordariomycetes
MockEven,Otu8,23175,CBS 130337,Ascomycota,Sordariomycetes
MockTiered,Otu8,10369,CBS 130337,Ascomycota,Sordariomycetes
MockEven,Otu22,76,CBS 121445,Ascomycota,Sordariomycetes
MockTiered,Otu22,156,CBS 121445,Ascomycota,Sordariomycetes
MockEven,Otu3,2521,CBS 197.82,Ascomycota,Dothideomycetes
MockTiered,Otu3,2941,CBS 197.82,Ascomycota,Dothideomycetes
MockEven,Otu138,10072,CBS 210.32,Mucoromycota,
MockTiered,Otu138,16799,CBS 210.32,Mucoromycota,
MockEven,Otu110,536,CBS 7744,Ascomycota,Saccharomycetes
MockTiered,Otu110,467,CBS 7744,Ascomycota,Saccharomycetes
MockEven,Otu372,10152,CBS 371.53,Basidiomycota,Ustilaginomycetes
MockTiered,Otu372,1682,CBS 371.53,Basidiomycota,Ustilaginomycetes
MockEven,Otu10,1974,CBS 110123,Ascomycota,Ascomycetes
MockTiered,Otu10,6097,CBS 110123,Ascomycota,Ascomycetes
MockEven,Otu13,4741,CBS 122753,Ascomycota,Eurotiomycetes
MockTiered,Otu13,4187,CBS 122753,Ascomycota,Eurotiomycetes
MockEven,Otu1,5380,CBS 100462,Ascomycota,Dothideomycetes
MockTiered,Otu1,3572,CBS 100462,Ascomycota,Dothideomycetes
MockEven,Otu98,4301,CBS 675.73,Chytridiomycota,Chytridiomycetes
MockTiered,Otu98,11053,CBS 675.73,Chytridiomycota,Chytridiomycetes
MockEven,Otu30,122,CBS 116499,Ascomycota,Sordariomycetes
MockTiered,Otu30,284,CBS 116499,Ascomycota,Sordariomycetes
MockEven,Otu5,162,CBS 7744,Ascomycota,Saccharomycetes
MockTiered,Otu5,52,CBS 7744,Ascomycota,Saccharomycetes
MockEven,Otu43,1860,CBS 186.71,Ascomycota,Sordariomycetes
MockTiered,Otu43,3431,CBS 186.71,Ascomycota,Sordariomycetes
MockEven,Otu23,2187,CBS 130859,Ascomycota,Sordariomycetes
MockTiered,Otu23,2808,CBS 130859,Ascomycota,Sordariomycetes
MockEven,Otu20,175,CBS 124948,Ascomycota,Sordariomycetes
MockTiered,Otu20,45,CBS 124948,Ascomycota,Sordariomycetes
MockEven,Otu31,141,CBS 186.71,Ascomycota,Sordariomycetes
MockTiered,Otu31,281,CBS 186.71,Ascomycota,Sordariomycetes
MockEven,Otu36,1319,AZ0245,Ascomycota,Pezizomycete
MockTiered,Otu36,7828,AZ0245,Ascomycota,Pezizomycete
MockEven,Otu12,399,CBS 130337,Ascomycota,Sordariomycetes
MockTiered,Otu12,345,CBS 130337,Ascomycota,Sordariomycetes
MockEven,Otu15,71,CBS 130859,Ascomycota,Sordariomycetes
MockTiered,Otu15,114,CBS 130859,Ascomycota,Sordariomycetes
MockEven,Otu42,64,CBS 130859,Ascomycota,Sordariomycetes
MockTiered,Otu42,58,CBS 130859,Ascomycota,Sordariomycetes
MockEven,Otu311,89,CBS 388.52,Ascomycota,Leotiomycetes
MockTiered,Otu311,140,CBS 388.52,Ascomycota,Leotiomycetes
MockEven,Otu18,64,CBS 210.32,Mucoromycota,
MockTiered,Otu18,57,CBS 210.32,Mucoromycota,
MockEven,Otu27,80,CBS 121445,Ascomycota,Sordariomycetes
MockTiered,Otu27,71,CBS 121445,Ascomycota,Sordariomycetes
MockEven,Otu39,154,CBS 158.61,Ascomycota,Sordariomycetes
MockTiered,Otu39,106,CBS 158.61,Ascomycota,Sordariomycetes
MockEven,Otu24,49,CBS 110123,Ascomycota,Ascomycetes
MockTiered,Otu24,178,CBS 110123,Ascomycota,Ascomycetes
MockEven,Otu45,102,CBS 107.57,Basidiomycota,Agaricomycetes
MockTiered,Otu45,347,CBS 107.57,Basidiomycota,Agaricomycetes
MockEven,Otu516,66,CBS 116499,Ascomycota,Sordariomycetes
MockTiered,Otu516,136,CBS 116499,Ascomycota,Sordariomycetes
MockEven,Otu28,158,CBS 119120,Ascomycota,Sordariomycetes
MockTiered,Otu28,84,CBS 119120,Ascomycota,Sordariomycetes
MockEven,Otu17,51,CBS 130337,Ascomycota,Sordariomycetes
MockTiered,Otu17,51,CBS 130337,Ascomycota,Sordariomycetes
